fips,name,state,Number_of_returns,estimated_exams,audit_rate,audit_rate_trunk
51025,"Brunswick County, Virginia",Virginia,25950.0,218.0,8.400770712909441,8.400770712909441
51027,"Buchanan County, Virginia",Virginia,31650.0,253.0,7.993680884676147,7.993680884676147
51029,"Buckingham County, Virginia",Virginia,24860.0,202.0,8.125502815768304,8.125502815768304
51031,"Campbell County, Virginia",Virginia,99710.0,723.0,7.251027981145321,7.251027981145321
51033,"Caroline County, Virginia",Virginia,54750.0,404.0,7.378995433789956,7.378995433789956
51035,"Carroll County, Virginia",Virginia,48130.0,369.0,7.666735923540411,7.666735923540411
51036,"Charles City County, Virginia",Virginia,14120.0,102.0,7.223796033994335,7.223796033994335
51037,"Charlotte County, Virginia",Virginia,20410.0,170.0,8.329250367466928,8.329250367466928
51041,"Chesterfield County, Virginia",Virginia,640600.0,4557.0,7.113643459256947,7.113643459256947
51043,"Clarke County, Virginia",Virginia,27790.0,203.0,7.3047858942065504,7.3047858942065504
51045,"Craig County, Virginia",Virginia,8860.0,63.0,7.1106094808126405,7.1106094808126405
51047,"Culpeper County, Virginia",Virginia,87250.0,639.0,7.323782234957019,7.323782234957019
51049,"Cumberland County, Virginia",Virginia,16880.0,133.0,7.879146919431279,7.879146919431279
51051,"Dickenson County, Virginia",Virginia,20220.0,161.0,7.962413452027695,7.962413452027695
51053,"Dinwiddie County, Virginia",Virginia,51330.0,379.0,7.383596337424509,7.383596337424509
51057,"Essex County, Virginia",Virginia,21390.0,171.0,7.994389901823283,7.994389901823283
51059,"Fairfax County, Virginia",Virginia,2186340.0,17229.0,7.8802930925656565,7.8802930925656565
51061,"Fauquier County, Virginia",Virginia,133000.0,971.0,7.300751879699247,7.300751879699247
51063,"Floyd County, Virginia",Virginia,26670.0,198.0,7.424071991001125,7.424071991001125
51065,"Fluvanna County, Virginia",Virginia,46970.0,317.0,6.748988716201831,6.748988716201831
51067,"Franklin County, Virginia",Virginia,94350.0,710.0,7.525172231054584,7.525172231054584
51069,"Frederick County, Virginia",Virginia,155380.0,1084.0,6.976444844896383,6.976444844896383
51071,"Giles County, Virginia",Virginia,29620.0,210.0,7.089804186360568,7.089804186360568
51073,"Gloucester County, Virginia",Virginia,72520.0,502.0,6.92222835079978,6.92222835079978
51075,"Goochland County, Virginia",Virginia,42190.0,342.0,8.106186300071107,8.106186300071107
51077,"Grayson County, Virginia",Virginia,24550.0,198.0,8.065173116089614,8.065173116089614
51079,"Greene County, Virginia",Virginia,34900.0,254.0,7.277936962750716,7.277936962750716
51081,"Greensville County, Virginia",Virginia,14930.0,128.0,8.57334226389819,8.57334226389819
51083,"Halifax County, Virginia",Virginia,59440.0,479.0,8.058546433378195,8.058546433378195
51085,"Hanover County, Virginia",Virginia,201160.0,1378.0,6.850268443030424,6.850268443030424
51087,"Henrico County, Virginia",Virginia,636840.0,4727.0,7.422586520947178,7.422586520947178
51089,"Henry County, Virginia",Virginia,88450.0,707.0,7.993216506500847,7.993216506500847
51091,"Highland County, Virginia",Virginia,4280.0,35.0,8.177570093457941,8.177570093457941
51093,"Isle of Wight County, Virginia",Virginia,69760.0,501.0,7.181766055045872,7.181766055045872
51095,"James City County, Virginia",Virginia,143750.0,1044.0,7.262608695652173,7.262608695652173
51097,"King and Queen County, Virginia",Virginia,12670.0,93.0,7.3401736385161795,7.3401736385161795
51099,"King George County, Virginia",Virginia,45220.0,322.0,7.120743034055728,7.120743034055728
51101,"King William County, Virginia",Virginia,31960.0,223.0,6.977471839799748,6.977471839799748
51103,"Lancaster County, Virginia",Virginia,23100.0,184.0,7.965367965367966,7.965367965367966
51105,"Lee County, Virginia",Virginia,31080.0,262.0,8.429858429858433,8.429858429858433
51107,"Loudoun County, Virginia",Virginia,671370.0,5237.0,7.800467700373861,7.800467700373861
51109,"Louisa County, Virginia",Virginia,61590.0,448.0,7.2739081019646035,7.2739081019646035
51111,"Lunenburg County, Virginia",Virginia,19300.0,160.0,8.290155440414507,8.290155440414507
51113,"Madison County, Virginia",Virginia,23990.0,178.0,7.419758232596915,7.419758232596915
51115,"Mathews County, Virginia",Virginia,16850.0,121.0,7.181008902077153,7.181008902077153
51117,"Mecklenburg County, Virginia",Virginia,53610.0,439.0,8.188770751725425,8.188770751725425
51119,"Middlesex County, Virginia",Virginia,20850.0,159.0,7.625899280575539,7.625899280575539
51121,"Montgomery County, Virginia",Virginia,137740.0,959.0,6.9623929141861485,6.9623929141861485
51125,"Nelson County, Virginia",Virginia,29000.0,223.0,7.689655172413794,7.689655172413794
51127,"New Kent County, Virginia",Virginia,39220.0,269.0,6.8587455379908215,6.8587455379908215
51131,"Northampton County, Virginia",Virginia,23400.0,201.0,8.589743589743591,8.589743589743591
51133,"Northumberland County, Virginia",Virginia,23830.0,181.0,7.595467897608057,7.595467897608057
51135,"Nottoway County, Virginia",Virginia,24750.0,204.0,8.242424242424242,8.242424242424242
51137,"Orange County, Virginia",Virginia,65410.0,470.0,7.185445650512153,7.185445650512153
51139,"Page County, Virginia",Virginia,42440.0,320.0,7.5400565504241275,7.5400565504241275
51141,"Patrick County, Virginia",Virginia,29040.0,231.0,7.954545454545454,7.954545454545454
51143,"Pittsylvania County, Virginia",Virginia,106950.0,813.0,7.601683029453015,7.601683029453015
51145,"Powhatan County, Virginia",Virginia,51390.0,355.0,6.907958746837907,6.907958746837907
51147,"Prince Edward County, Virginia",Virginia,31290.0,257.0,8.21348673697667,8.21348673697667
51149,"Prince George County, Virginia",Virginia,60830.0,443.0,7.282590826894625,7.282590826894625
51153,"Prince William County, Virginia",Virginia,832820.0,6088.0,7.310103023462451,7.310103023462451
51155,"Pulaski County, Virginia",Virginia,58340.0,419.0,7.1820363387041475,7.1820363387041475
